id,name,activity_id,vendor_id,lead_time_days,promised_delivery_date,need_by_date,vendor_reported_status,manual_p_delay_override
M046,Structural Steel Beams,A05,V01,46,,,,
M047,Flooring Tiles,A21,V10,17,,,,
M048,Generator Set,A20,V09,42,,,,
M049,Gypsum Board,A07,V09,38,,,,
M050,Rebar Bundles,A02,V06,24,,,,
M051,Structural Steel Beams,A06,V06,17,,,,
M052,Paint & Coatings,A18,V06,40,,,,
M053,Gypsum Board,A07,V05,34,,,,
M054,Structural Steel Beams,A21,V10,11,,,,
M055,Access Doors,A02,V05,29,,,,
M056,VFD Drives,A04,V09,15,,,,
M057,Ceiling Tiles,A03,V10,41,,,,
M058,Structural Steel Beams,A10,V05,27,,,,
M059,MV Cables,A11,V10,13,,,,
M060,VFD Drives,A08,V01,21,,,,
M061,Junction Boxes,A02,V09,29,,,,
M062,Rebar Bundles,A03,V10,29,,,,
M063,Conduit,A18,V06,11,,,,
M064,Sprinkler Heads,A13,V07,32,,,,
M065,Cable Trays,A14,V06,52,,,,
M066,Flooring Tiles,A14,V02,19,,,,
M067,Conduit,A18,V10,50,,,,
M068,VFD Drives,A10,V06,22,,,,
M069,VFD Drives,A02,V10,30,,,,
M070,Ductwork Sections,A14,V07,13,,,,
M071,MV Cables,A06,V09,16,,,,
M072,Gypsum Board,A06,V10,29,,,,
M073,Gypsum Board,A21,V07,17,,,,
M074,MV Cables,A05,V01,26,,,,
M075,Roofing Membrane,A11,V09,22,,,,
M076,VFD Drives,A20,V02,28,,,,
M077,Louvers,A06,V07,24,,,,
M078,Generator Set,A21,V06,27,,,,
M079,Structural Steel Beams,A02,V07,35,,,,
M080,Structural Steel Beams,A09,V02,27,,,,
M081,Fire Pumps,A13,V10,22,,,,
M082,Access Doors,A18,V02,25,,,,
M083,VFD Drives,A11,V02,15,,,,
M084,VFD Drives,A19,V07,18,,,,
M085,Louvers,A05,V01,20,,,,
M086,VAV Boxes,A04,V01,38,,,,
M087,Curtain Wall Panels,A19,V01,20,,,,
M088,Roofing Membrane,A13,V01,43,,,,
M089,Access Doors,A04,V01,35,,,,
M090,Dampers,A14,V05,9,,,,
M091,Curtain Wall Panels,A13,V07,30,,,,
M092,Conduit,A16,V07,25,,,,
M093,Sprinkler Heads,A21,V05,23,,,,
M094,VFD Drives,A08,V09,29,,,,
M095,Roofing Membrane,A04,V10,55,,,,
M096,VAV Boxes,A11,V02,31,,,,
M097,Cable Trays,A08,V09,22,,,,
M098,VFD Drives,A03,V07,29,,,,
M099,Cable Trays,A20,V07,43,,,,
M100,Dampers,A14,V06,21,,,,
M101,Conduit,A13,V09,17,,,,
M102,Ready-Mix Concrete,A14,V07,38,,,,
M103,VFD Drives,A21,V06,35,,,,
M104,Ready-Mix Concrete,A14,V06,33,,,,
M105,Paint & Coatings,A02,V09,46,,,,
M106,Fire Pumps,A16,V07,23,,,,
M107,Lighting Fixtures,A12,V06,28,,,,
M108,Insulation Rolls,A16,V01,19,,,,
M109,Ceiling Tiles,A02,V07,18,,,,
M110,PVC Piping,A13,V02,49,,,,
M111,Ductwork Sections,A07,V06,23,,,,
M112,Curtain Wall Panels,A09,V02,19,,,,
M113,Roofing Membrane,A10,V06,11,,,,
M114,Flooring Tiles,A14,V09,31,,,,
M115,Cable Trays,A19,V05,36,,,,
M116,Louvers,A19,V05,48,,,,
M117,Access Doors,A02,V09,30,,,,
M118,Control Panels,A18,V07,16,,,,
M119,VAV Boxes,A04,V10,25,,,,
M120,Paint & Coatings,A06,V10,26,,,,
M121,Ready-Mix Concrete,A06,V07,23,,,,
M122,Conduit,A14,V07,13,,,,
M123,Structural Steel Beams,A18,V02,18,,,,
M124,Rebar Bundles,A04,V05,23,,,,
M125,Structural Steel Beams,A13,V07,21,,,,
M126,Roofing Membrane,A15,V02,70,,,,
M127,MV Cables,A07,V06,27,,,,
M128,Ceiling Tiles,A20,V10,29,,,,
M129,Dampers,A07,V01,21,,,,
M130,Conduit,A18,V07,46,,,,
M131,Copper Piping,A18,V02,28,,,,
M132,PVC Piping,A12,V05,21,,,,
M133,Dampers,A17,V10,51,,,,
M134,Curtain Wall Panels,A04,V05,18,,,,
M135,Switchgear Unit,A09,V03,45,,,delayed - factory backlog,
M136,Transformer,A10,V04,52,,,delayed - testing backlog,
M137,Elevator Cab,A16,V08,40,,,delayed - shipping,
